evaluator_id,model,condition,criterion_id,value,notes
evaluator-01,gemini-3-flash,1,1,yes,
evaluator-01,gemini-3-flash,2,1,no,
evaluator-01,gemini-3-flash,3,1,yes,
evaluator-01,gpt-oss-120b,1,1,no,
evaluator-01,gpt-oss-120b,2,1,no,
evaluator-01,gpt-oss-120b,3,1,no,
evaluator-01,claude-opus-4-6,1,1,no,
evaluator-01,claude-opus-4-6,2,1,no,
evaluator-01,claude-opus-4-6,3,1,no,
evaluator-01,gemini-3-flash,1,2,no,
evaluator-01,gemini-3-flash,2,2,yes,
evaluator-01,gemini-3-flash,3,2,yes,
evaluator-01,gpt-oss-120b,1,2,yes,
evaluator-01,gpt-oss-120b,2,2,no,
evaluator-01,gpt-oss-120b,3,2,yes,
evaluator-01,claude-opus-4-6,1,2,yes,
evaluator-01,claude-opus-4-6,2,2,yes,
evaluator-01,claude-opus-4-6,3,2,yes,
evaluator-01,gemini-3-flash,1,3,no,
evaluator-01,gemini-3-flash,2,3,failed,
evaluator-01,gemini-3-flash,3,3,failed,
evaluator-01,gpt-oss-120b,1,3,no,
evaluator-01,gpt-oss-120b,2,3,no,
evaluator-01,gpt-oss-120b,3,3,failed,
evaluator-01,claude-opus-4-6,1,3,failed,
evaluator-01,claude-opus-4-6,2,3,failed,
evaluator-01,claude-opus-4-6,3,3,failed,
evaluator-01,gemini-3-flash,1,4,low,
evaluator-01,gemini-3-flash,2,4,high,
evaluator-01,gemini-3-flash,3,4,medium,
evaluator-01,gpt-oss-120b,1,4,low,
evaluator-01,gpt-oss-120b,2,4,low,
evaluator-01,gpt-oss-120b,3,4,low,
evaluator-01,claude-opus-4-6,1,4,high,
evaluator-01,claude-opus-4-6,2,4,high,
evaluator-01,claude-opus-4-6,3,4,high,
evaluator-01,gemini-3-flash,1,5,yes,
evaluator-01,gemini-3-flash,2,5,yes,
evaluator-01,gemini-3-flash,3,5,yes,
evaluator-01,gpt-oss-120b,1,5,yes,
evaluator-01,gpt-oss-120b,2,5,yes,
